"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Trapa Hemitrapa","Section","[Genus] Trapa","Baranov V. I. ","Etapy razvitija flory i rastitel'nosti SSSR v tretichnom periode. Chast' 3. Itogi izuchenija iskopaemykh tretichnykh flor i problema reliktov v sovremennoj rastitel'nosti SSSR [1954/8]",NA,NA,"114",NA,"115","1954",NA,NA,"3F7BB8D5-C6B4-43ED-A348-FEBEA053ACDA","Vassiljev V. N. ","Uchenye zapiski Kazanskogo Gosudarstvennogo Universiteta",NA,"4",NA,"[Genus] Hemitrapa",NA,NA,NA,NA,NA,NA,NA
"Trapa Hemitrapa","Section","[Genus] Trapa","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke [1961/7]","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke",NA,NA,"48","1961",NA,NA,"8EAC23F0-81EF-4FDF-BA32-3D25DCCE0046",NA,NA,NA,NA,NA,"[Genus] Hemitrapa",NA,NA,NA,NA,NA,NA,NA
"Trapa Silesiensis","Section","[Genus] Trapa","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke [1961/7]","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke",NA,NA,"63","1961","[Genus] Trapa","fruits","DBC8BF28-341F-402D-977B-D42FA3C7F681",NA,NA,NA,NA,"Trapa silesiaca",NA,NA,NA,NA,NA,NA,NA,NA
"Trapa Stipitrapa","Subgenus","[Genus] Trapa","Miki S. ","Trapa of Japan with special reference to its remains [1952/12]",NA,NA,"3",NA,"10","1952","[Genus] Trapa","fruits","60A5D258-2F05-433E-B1B0-8C912D77B063",NA,"Journal of the Institute of Polytechnics, Osaka City University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triatriopollenites Alabroidae","Section","[Genus] Triatriopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"79","1953","[Genus] Triatriopollenites","sporae dispersae (pollen)","399C3153-3B43-4B72-959E-E2C553B62C0A","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triatriopollenites Anuloferoidae","Section","[Genus] Triatriopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"77","1953","[Genus] Triatriopollenites","sporae dispersae (pollen)","4E8E4368-BC9E-42DF-8DE0-C312D25E3ED9","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triatriopollenites Labroferoidae","Section","[Genus] Triatriopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"78","1953","[Genus] Triatriopollenites","sporae dispersae (pollen)","AA7B6E01-B75F-4869-8352-1D287CC215DA","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricolpopollenites Asperoidae","Section","[Genus] Tricolpopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"94","1953","[Genus] Tricolpopollenites","sporae dispersae (pollen)","0B8A3E64-31EB-452B-9B53-45CA53EA4DB5","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricolpopollenites Spinosoidae","Section","[Genus] Tricolpopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"98","1953","[Genus] Tricolpopollenites","sporae dispersae (pollen)","E49C6C8F-86A6-4C02-8540-E74E786490AE","Pflug H. D. ","Palaeontographica",NA,"1-4","Tricolpopollenites spinosus",NA,NA,NA,NA,NA,NA,NA,NA
"Tricolporopollenites Auxiliopollis","Subgenus","[Genus] Tricolporopollenites","Krutzsch W. ","Einige neue Formgattungen und -Arten von Sporen und Pollen aus der mitteleuropäischen Oberkreide und dem Tertiär [1959/5]",NA,NA,"105",NA,"152","1959","[Genus] Tricolporopollenites","sporae dispersae (pollen)","4C90B092-88CE-EA77-B550-910AD4D56057",NA,"Palaeontographica",NA,"5-6","Tricolporopollenites rauffii",NA,NA,NA,NA,NA,NA,NA,NA
"Tricolporopollenites Clavoferae","Section","[Genus] Tricolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"106","1953","[Genus] Tricolporopollenites","sporae dispersae (pollen)","3ADE7E2C-3F1C-4E8D-BE68-DB09C39AD3F2","Pflug H. D. Thomson P. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricolporopollenites Cruciporoidae","Section","[Genus] Tricolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"101","1953","[Genus] Tricolporopollenites","sporae dispersae (pollen)","276F5EC3-F742-4002-A2D8-71AF658F8AA4","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricolporopollenites Longoporoidae","Section","[Genus] Tricolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"98","1953","[Genus] Tricolporopollenites","sporae dispersae (pollen)","A255E16E-FBB6-426C-BEF3-BE853D28A5A3","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricolporopollenites Microporoidae","Section","[Genus] Tricolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"104","1953","[Genus] Tricolporopollenites","sporae dispersae (pollen)","CD5DBD1C-7708-4D05-B366-0464F378EB8A","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tricolporopollenites Orbiporoidae","Section","[Genus] Tricolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"102","1953","[Genus] Tricolporopollenites","sporae dispersae (pollen)","63A5C572-EC36-4483-B12C-55A49B5926E4","Pflug H. D. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Aphanozonati","Section","[Genus] Triletes","Schopf J. M. ","Spores from the Herrin (no. 6) coal bed in Illinois [1938/7]",NA,NA,NA,NA,"24","1938","[Genus] Triletes","sporae dispersae (megaspores)","F07C1B79-E1DC-46C4-B374-5E7D55B49C68",NA,"Report of investigations Illinois State Geological Survey",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Apiculatae","Unranked","[Genus] Triletes","Harris T. M. ","The Fossil Flora of Scoresby Sound East Greenland. Part 4 [1935/5]",NA,NA,"112",NA,"156","1935",NA,"sporae dispersae (megaspores)","C71F6C7B-4437-5857-3954-71396DB4E652",NA,"Meddelelser om Grønland",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Apiculati","Subgenus","[Genus] Triletes","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"232","1927",NA,"sporae dispersae (megaspores)","989E9A88-4ADB-971B-DB84-96074BD451CF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Auriculati","Section","[Genus] Triletes","Schopf J. M. ","Spores from the Herrin (no. 6) coal bed in Illinois [1938/7]",NA,NA,NA,NA,"30","1938","[Genus] Triletes","sporae dispersae","B2329097-B17E-458B-9DCA-2B73941BBD51",NA,"Report of investigations Illinois State Geological Survey",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Laevigatae","Unranked","[Genus] Triletes","Harris T. M. ","The Fossil Flora of Scoresby Sound East Greenland. Part 4 [1935/5]",NA,NA,"112",NA,"156","1935",NA,"sporae dispersae (megaspores)","3A2B3E17-79EA-E18B-27EA-FEF7EC7E009C",NA,"Meddelelser om Grønland",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Laevigati","Subgenus","[Genus] Triletes","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"231","1927",NA,"sporae dispersae (megaspores)","13A436C8-D815-0943-FD35-E10986B45BDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Lagenicula","Section","[Genus] Triletes","Schopf J. M. ","Spores from the Herrin (no. 6) coal bed in Illinois [1938/7]",NA,NA,NA,NA,"27","1938",NA,"sporae dispersae (megaspores)","26AA317C-7097-4D89-A270-83C6C92E7FC1",NA,"Report of investigations Illinois State Geological Survey",NA,"50",NA,"[Genus] Lagenicula",NA,NA,NA,NA,NA,NA,NA
"Triletes Lagenicula","Unranked","[Genus] Triletes","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"232","1927",NA,"sporae dispersae (megaspores)","40D931E7-0186-6B28-A3A8-F3B0A61AA625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Triangulati","Section","[Genus] Triletes","Schopf J. M. ","Spores from the Herrin (no. 6) coal bed in Illinois [1938/7]",NA,NA,NA,NA,"31-32","1938","[Genus] Triletes","sporae dispersae","6DFAADBD-6002-486F-A005-02C6A6DEB36D",NA,"Report of investigations Illinois State Geological Survey",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Zonales","Section","[Genus] Triletes","Dijkstra S. J. ","Eine monographische Bearbeitung der karbonischen Megasporen, mit besonderer Berü[c]ksichtigung von Südlimburg (Niederlande) [1946]",NA,NA,NA,NA,"39","1946","[Genus] Triletes","sporae dispersae (megaspores)","2ACABDCA-D9B0-4D20-952B-5CBFC5046F67",NA,"Mededelingen van de Geologische Stichting",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triletes Zonales","Subgenus","[Genus] Triletes","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"232","1927",NA,"sporae dispersae (megaspores)","4329642F-292C-C35D-4891-1888F70BED11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triploporella Sinoporella","Subgenus","[Genus] Triploporella","Yabe H. ","A new fossil Dasycladaceae from the Lower Permian of China [1950/3]",NA,NA,"25",NA,"61","1950","[Genus] Triploporella","thallus (calcareous)","61556F95-6BC9-4902-A999-097FBB22C9F0",NA,"Proceedings of the Japan Academy","1949","2","Triploporella leei",NA,NA,NA,NA,NA,NA,NA,NA
"Trochiliscus Eutrochiliscus","Subgenus","[Genus] Trochiliscus","Croft W. N. ","A new Trochiliscus (Charophyta) from the Downtonian of Podolia, Eastern Europe [1952/7]",NA,NA,"1",NA,"209","1952","[Genus] Trochiliscus","gyrogonites","B898D7B1-EBA4-4B46-A9C9-A186BDFF4F4E",NA,"Bulletin of the British Museum (Natural History)",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochiliscus Karpinskya","Subgenus","[Genus] Trochiliscus","Croft W. N. ","A new Trochiliscus (Charophyta) from the Downtonian of Podolia, Eastern Europe [1952/7]",NA,NA,"1",NA,"209","1952","[Genus] Trochiliscus","gyrogonites","2D203F6F-160E-4926-AE42-973DE367CB9A",NA,"Bulletin of the British Museum (Natural History)",NA,"7","Trochiliscus laticostatus",NA,NA,NA,NA,NA,NA,NA,NA
"Trudopollis Anuloidaepollenites","Section","[Genus] Trudopollis","Weyland H. G. Krieger W. ","Die Sporen und Pollen der Aachener Kreide und ihre Bedeutung für die Charakterisierung des mittleren Senons [1953/9]",NA,NA,"95",NA,"15","1953",NA,"sporae dispersae (pollen)","A319EE81-FFB2-378F-CD37-26C70AE352F0","Pflug H. D. ","Palaeontographica",NA,"1-3",NA,NA,"Anuloidae-pollenites",NA,NA,NA,NA,NA,NA
"Trudopollis Pertrudoidaepollenites","Section","[Genus] Trudopollis","Weyland H. G. Krieger W. ","Die Sporen und Pollen der Aachener Kreide und ihre Bedeutung für die Charakterisierung des mittleren Senons [1953/9]",NA,NA,"95",NA,"15","1953",NA,"sporae dispersae (pollen)","F3C019E3-AFEA-D3CF-A880-228FBC93B9C6","Pflug H. D. ","Palaeontographica",NA,"1-3",NA,NA,"Pertrudoidae-pollenites",NA,NA,NA,NA,NA,NA
"Trudopollis Pompeckjoidaepollenites","Section","[Genus] Trudopollis","Weyland H. G. Krieger W. ","Die Sporen und Pollen der Aachener Kreide und ihre Bedeutung für die Charakterisierung des mittleren Senons [1953/9]",NA,NA,"95",NA,"16","1953",NA,"sporae dispersae (pollen)","2EF40CB8-EB2C-B3E1-B65A-349728E6E578","Pflug H. D. ","Palaeontographica",NA,"1-3",NA,NA,"Pompeckjoidae-pollenites",NA,NA,NA,NA,NA,NA
"Trudopollis Protrudoidaepollenites","Section","[Genus] Trudopollis","Weyland H. G. Krieger W. ","Die Sporen und Pollen der Aachener Kreide und ihre Bedeutung für die Charakterisierung des mittleren Senons [1953/9]",NA,NA,"95",NA,"14","1953",NA,"sporae dispersae (pollen)","FA0B816A-75F0-4F26-A652-FD8845F1E7C9","Pflug H. D. ","Palaeontographica",NA,"1-3",NA,NA,"Protrudoidae-pollenites",NA,NA,NA,NA,NA,NA
"Tsuga Palaeotsuga","Subgenus","[Genus] Tsuga","Miki S. ","The occurrence of the remain of Taiwania and Palaeotsuga (n. subg.) from Pliocene beds in Japan [1955/1]",NA,NA,"30",NA,"977","1955",NA,"cones","1CF8E078-1D01-8E4C-9163-16B215E5138C",NA,"Proceedings of the Japan Academy","1954","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tubela Alnaria","Section","[Genus] Tubela","Dorofeev P. I. ","Tubela Dorof. gen. nov. [1982/12]","Takhtajan A. L. ","Iskopaemye tsvetkovye rastenija SSSR","2",NA,"147","1982","[Genus] Tubela","fruits (endocarps)","1334E881-1760-475F-88AD-533562510FF9",NA,NA,NA,NA,"Tubela omskiana",NA,NA,NA,NA,NA,NA,NA,NA
"Tubela Itelmenia","Section","[Genus] Tubela","Dorofeev P. I. ","Tubela Dorof. gen. nov. [1982/12]","Takhtajan A. L. ","Iskopaemye tsvetkovye rastenija SSSR","2",NA,"147","1982","[Genus] Tubela","fruits (endocarps)","3A4A0557-15CD-4E98-9AFA-FEE7CA812DBB",NA,NA,NA,NA,"Tubela miocenica",NA,NA,NA,NA,NA,NA,NA,NA
"Zamia Zamites","Subgenus","[Genus] Zamia","Schimper W. Mougeot A. ","Monographie des plantes fossiles du grès bigarré de la chaine des Vosges [1840/9]","Schimper W. Mougeot A. ","Monographie des plantes fossiles du grès bigarré de la chaine des Vosges",NA,"1","33","1840",NA,NA,"567C8E87-B30D-45F0-9FD9-4644100D7457",NA,NA,NA,NA,NA,"[Genus] Zamites",NA,NA,NA,NA,NA,NA,NA
"Zamites Podozamites","Section","[Genus] Zamites","Brongniart A. T. ","Végétaux fossiles [1849/7]","d'Orbigny A. ","Dictionnaire Universel d'histoire naturelle","13",NA,"111","1849",NA,NA,"0BA8063C-EED3-48C2-A47D-808878E0679A",NA,NA,NA,NA,NA,"[Genus] Podozamites",NA,NA,NA,NA,NA,NA,NA
"Zamites Podozamites","Subgenus","[Genus] Zamites","Braun C. F. W. ","Fossile Pflanzen [1846/6]",NA,NA,NA,NA,"1258","1846",NA,NA,"19FB9F5E-9915-FA38-4651-DDC9200F2C6F",NA,"Allgemeine Zeitung (München)","1846","158, Beilage",NA,"[Genus] Podozamites",NA,NA,NA,NA,NA,NA,NA
"Zonales-sporites Annulati-sporites","Unranked","[Genus] Zonales-sporites","Loose F. ","Über die Sporenformen aus dem Flöz Bismarck des Ruhrreviers [1934/4]",NA,NA,NA,NA,"151","1934","[Genus] Zonales-sporites","sporae dispersae","4179ECB0-9A94-49E1-8BE5-7C8E9A1B65D4",NA,"Arbeiten aus dem Institut für Paläobotanik und Petrographie der Brennsteine",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zosterophyllum Euzosterophyllum","Section","[Genus] Zosterophyllum","Croft W. N. Lang W. H. ","The Lower Devonian flora of the Senni Beds of Monmouthshire and Breconshire [1942/6]",NA,NA,"231",NA,"145","1942","[Genus] Zosterophyllum","stems","CB574635-4A1E-4DE3-9ACB-6FA134BBE558",NA,"Philosophical transactions of the Royal Society of London",NA,"579","Zosterophyllum myretonianum",NA,"Eu-zosterophyllum",NA,NA,NA,NA,NA,NA
"Zosterophyllum Platyzosterophyllum","Section","[Genus] Zosterophyllum","Croft W. N. Lang W. H. ","The Lower Devonian flora of the Senni Beds of Monmouthshire and Breconshire [1942/6]",NA,NA,"231",NA,"145","1942","[Genus] Zosterophyllum","stems","27BF44E6-62CF-41B5-9BFB-5774C217C9B7",NA,"Philosophical transactions of the Royal Society of London",NA,"579","Zosterophyllum llanoveranum",NA,"Platy-zosterophyllum",NA,NA,NA,NA,NA,NA
"Zygopteris Ankyropteris","Subgenus","[Genus] Zygopteris",NA,"Not defined (in editing)",NA,NA,NA,NA,"28",NA,NA,"stems","2B22E706-E323-C759-113F-0B14701CFA9B","Sterzel J. T. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
